,"p, атм","T, K",t_exp,Δt_exp,t_calc,dT:Aramco13,dT:Aramco20,dT:Aramco30,dT:GriMech12,dT:GriMech30,dT:NUImech,dT:RAMEC,dT:Slavinskaya,dT:USCC1C3,dT:ZhukovC1C4,dT:ZhukovC1C7,dT:ZhukovKongCH4,OH:Aramco13,OH:Aramco20,OH:Aramco30,OH:GriMech12,OH:GriMech30,OH:NUImech,OH:RAMEC,OH:Slavinskaya,OH:USCC1C3,OH:ZhukovC1C4,OH:ZhukovC1C7,OH:ZhukovKongCH4
0,2.54,1688.0,77.0,5.0,97.0,141.78807236070472,148.2424383107925,148.583783009867,104.58657204450195,96.20360678914012,133.73111195621615,110.10462517806869,133.2445095007726,103.05378523190193,115.26207989254674,115.26155522713765,128.9125218794288,153.84844972726344,160.2558265513869,160.65522899247546,118.4511175386119,108.04657934391591,144.27480149875518,123.24964049588148,141.2583332180419,114.93948161504092,128.56880112269013,128.4238281450304,145.11839580218208
1,2.95,1661.0,101.0,3.0,101.0,157.26147033948732,164.5625350051607,165.11950036033838,112.63506420683358,103.10258145838118,148.7143443461389,118.24844465087183,146.43257691971834,111.00718105075914,123.44223651354434,123.43622380414523,137.60528720475673,167.50001364376368,174.85333644906444,175.3175720742019,124.43096050854531,113.14491107858657,157.69731851205427,129.44225360872287,153.21983375331843,121.05173378682535,134.7123498328015,134.6202393376449,151.76531320738172
2,3.21,1537.0,262.0,4.0,263.0,460.71489849463785,480.34156807804555,484.88926075522284,292.50689824230886,262.1224944852904,442.8194866632215,302.9973717331304,400.82848745286276,287.1860472921534,311.4341268737064,311.4310001068068,340.9999313935204,471.2480127081012,490.910556645277,495.43648641245983,304.4375226318345,272.25366589644415,452.10555919933404,314.4180305812601,407.8791339545115,297.37384659542977,322.8154733181424,322.8857579718635,357.08706812025054
3,3.44,1584.0,189.0,20.0,167.0,276.7397373749247,289.29294884710833,291.30142080765927,184.16099311266103,165.9126771101616,264.21343690489243,191.73916430266212,249.7368474156281,180.86030023468996,198.2785154994234,198.28189727617288,218.6176897488448,285.916102259682,298.5046060708998,300.5629853445065,194.62597942718145,174.85823384705998,272.30374977725484,201.62637664614505,255.78572804355966,189.74289641346965,208.33610341116676,208.28083577289175,232.29502111592
4,3.76,1644.0,100.0,2.0,95.0,150.06962816083742,157.1107608020717,157.71856274396492,106.08140454328212,96.09790622927468,142.0799706556661,110.98422867506137,140.17167831986941,104.0855814880096,115.43018058343566,115.42776632239682,128.16732172780448,157.79854414318,164.84876539178555,165.44962232630127,114.94501305995591,103.57418240290598,148.86895118833382,119.40820233596138,145.17189815756143,111.57065823444273,123.90331454700248,123.94901161316815,139.29513560432235
5,3.91,1487.0,343.0,4.0,355.0,499.78333701892967,500.4134575302035,499.48371111254136,406.5928564160011,354.51425095240774,499.9909917439256,416.7043293107659,500.04481980752865,392.71582196981086,424.38030699136857,424.3821240170777,458.4211575510066,500.0425901489022,500.8334771663515,500.46408974118873,416.40007895907706,362.8617163606834,500.5710117620153,426.07971293322043,500.16762526045824,401.19363286268117,433.81624582101847,433.8442164904286,473.1185316840618
6,4.24,1525.0,257.0,4.0,235.0,416.50767139521207,433.5633412412283,437.8000948673758,267.0989995605305,233.89971426000605,399.9927999679654,275.11799423104003,370.31079667234997,258.1609353410338,281.61549398811314,281.6123595507537,306.2711009601238,424.10336533492887,441.1790161095008,445.44841685024653,275.6818472098666,241.15520941737552,406.7125733760037,283.25231702843246,375.27462803062247,265.4275876380945,289.8073907952561,289.84481935636035,318.79024581656046
7,4.56,1715.0,61.0,10.0,48.0,71.60805185333403,74.95235675245516,74.97271197587764,54.271455856058466,49.237601482672886,67.20963168913846,56.95603019413477,68.90310436991523,53.0211163379512,59.38960164442174,59.39084082685004,66.34677739080294,77.24256728413708,80.5453622062751,80.58262166518763,60.83931350149456,54.69782642732677,72.14671407796243,63.21099777830083,72.43507316204635,58.46181961452894,65.65520900692452,65.66372150764788,74.35892584869521
8,12.8,1426.0,314.0,8.0,234.0,476.52773673445176,483.37818844841337,490.3638694805847,308.2920086119892,234.1997812110921,450.9525469621002,305.671388200654,481.15454752401695,270.288306237774,310.5230461214008,310.5246544625663,322.0069939547563,478.96049856098546,485.80570125444046,492.8138639746821,310.9966707436943,236.5424569635075,453.14662707659335,308.32811824130494,482.2535119729722,272.6470154554085,313.2153674653026,313.2065241496111,323.04709230205106
9,13.6,1570.0,89.0,5.0,62.0,105.64356822283183,109.66192121161322,110.29448385493733,75.92389267144529,62.02173528764324,99.30595836219884,77.52986988237826,112.8297702581762,69.75555121747584,79.48524008901875,79.48468650901673,85.27809630729915,107.43345723025305,111.44987583362655,112.08498816916082,77.95905294558564,63.689541470400435,100.8903793434893,79.52651319269901,113.56231019840301,71.44113070350645,81.50037959754708,81.49227600691093,89.9476635017449
